what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1271721331691
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1271721331691
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1271721331691
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1271721331691
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1271721331691
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1271721331691
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1271721331705
stopped,bundle,org.eclipse.cdt.core.lrparser,5.1.0.201002161416,"org.eclipse.cdt.core.lrparser",1271721331705
stopped,bundle,org.eclipse.cdt.p2,1.0.0.201002161416,"org.eclipse.cdt.p2",1271721331705
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200906151043,"org.eclipse.emf.importer.ecore",1271721331705
stopped,bundle,org.eclipse.emf.importer.java,2.5.0.v200906151043,"org.eclipse.emf.importer.java",1271721331705
stopped,bundle,org.eclipse.emf.importer.rose,2.5.0.v200906151043,"org.eclipse.emf.importer.rose",1271721331705
stopped,bundle,org.eclipse.emf.ant,2.4.0.v200906151043,"org.eclipse.emf.ant",1271721331705
stopped,bundle,org.eclipse.emf.mwe.core,0.7.2.v200908120417,"org.eclipse.emf.mwe.core",1271721331705
stopped,bundle,org.topcased.modeler.efs.uml,2.5.0.v201003091128,"org.topcased.modeler.efs.uml",1271721331705
stopped,bundle,org.topcased.modeler.uml.activitydiagram,2.5.2.v201003091128,"org.topcased.modeler.uml.activitydiagram",1271721331705
stopped,bundle,org.topcased.modeler.uml.deploymentdiagram,2.5.1.v201003091128,"org.topcased.modeler.uml.deploymentdiagram",1271721331705
stopped,bundle,org.topcased.modeler.uml.componentdiagram,3.0.2.v201003091128,"org.topcased.modeler.uml.componentdiagram",1271721331705
stopped,bundle,org.topcased.modeler.uml.compositestructuresdiagram,2.5.1.v201003091128,"org.topcased.modeler.uml.compositestructuresdiagram",1271721331705
stopped,bundle,org.topcased.modeler.uml.oclownedrule,2.5.0.v201003091128,"org.topcased.modeler.uml.oclownedrule",1271721331705
stopped,bundle,org.topcased.modeler.uml.operation.language.ocl,2.5.0.v201003091128,"org.topcased.modeler.uml.operation.language.ocl",1271721331705
stopped,bundle,org.topcased.modeler.uml.sequencediagram,2.5.2.v201003091128,"org.topcased.modeler.uml.sequencediagram",1271721331706
stopped,bundle,org.topcased.modeler.uml.statemachinediagram,2.5.2.v201003091128,"org.topcased.modeler.uml.statemachinediagram",1271721331706
stopped,bundle,org.topcased.modeler.uml,3.0.9.v201003091128,"org.topcased.modeler.uml",1271721331706
stopped,bundle,org.topcased.ui,2.5.1.v201003091128,"org.topcased.ui",1271721331706
stopped,bundle,org.topcased.modeler,3.1.5.v201003091128,"org.topcased.modeler",1271721331708
stopped,bundle,org.eclipse.epf.richtext,1.5.1.v201003091128,"org.eclipse.epf.richtext",1271721331708
stopped,bundle,org.eclipse.epf.common.ui,1.5.1.v201003091128,"org.eclipse.epf.common.ui",1271721331708
stopped,bundle,org.eclipse.epf.common,1.5.1.v201003091128,"org.eclipse.epf.common",1271721331708
stopped,bundle,org.eclipse.hyades.logging.core,4.3.400.v201002100300,"org.eclipse.hyades.logging.core",1271721331708
stopped,bundle,org.eclipse.hyades.execution,4.4.302.v201002100300,"org.eclipse.hyades.execution",1271721331708
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1271721331717
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1271721331717
stopped,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1271721331717
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.help.ui",1271721331717
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1271721331717
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1271721331736
stopped,bundle,org.eclipse.mylyn.wikitext.core,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.core",1271721331736
stopped,bundle,org.eclipse.test,3.3.0,"org.eclipse.test",1271721331736
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,"org.eclipse.wst.command.env.ui",1271721331736
stopped,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1271721331736
stopped,bundle,org.topcased.modeler.efs,2.5.0.v201003091128,"org.topcased.modeler.efs",1271721331736
stopped,bundle,net.sf.jautodoc,1.7.0,"net.sf.jautodoc",1271721331736
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1271721331736
